host,link,time,auth,follower,following,age,gender,country,location,sentiment,contents,uniqueid,authname
http://twitter.com/imperio2380,http://twitter.com/imperio2380/statuses/380294517431103488,2013-09-18T11:37:33Z,5,691,1371,,,,,,Hello Mother  Hello Father I've been smoking marijuana Coke is good  but Crack is better I'm so fkd up that I can... http://t.co/Mqv0XDhFx6,3.80E+17,Samuel negron
http://twitter.com/voidmedallion,http://twitter.com/voidmedallion/statuses/380294501434003459,2013-09-18T11:37:29Z,1,15,34,,,,,,This has been Happy Corner with Chimera. Next week  I drink that three month old bottle of coke in the fridge and declare my love for fish.,3.80E+17,レン
http://twitter.com/metro_showbiz,http://twitter.com/Metro_Showbiz/statuses/380294491204501504,2013-09-18T11:37:26Z,7,7633,5167,,,,,,Zac Efron hid ‘secret coke addiction’ from fans but emerges from rehab ‘happy  healthy and career fo... http://t.co/hNlKeRE4Ce,3.80E+17,Metro Showbiz
http://twitter.com/eiichi0614,http://twitter.com/Eiichi0614/statuses/380293827451305984,2013-09-18T11:34:48Z,5,474,197,,,,,,"""Beth Jenkins: What Does It Mean to Economically Empower Women through the Coca-Cola Value Chain?"" good read http://t.co/WQRm9IRDaq",3.80E+17,Eiichi Haraki
http://twitter.com/smeexii,http://twitter.com/sMeexii/statuses/380293260167499776,2013-09-18T11:32:33Z,3,58,101,,,,,,@Coke_HappyPrez Coke + Penafrancia Festival 2013 = FUN FUN FUN and lots of Happiness! #CokeNaga,3.80E+17,Aina
http://twitter.com/bingbaja,http://twitter.com/BingBaja/statuses/380293078956789760,2013-09-18T11:31:50Z,2,43,313,,,,,,"@Coke_HappyPrez Coke + Penafrancia Festival 2013 = Super Bless and Happy!! :""> #CokeNaga",3.80E+17,Bing Baja
http://twitter.com/therealtbreezy,http://twitter.com/TheRealTBreezy/statuses/380293026964570112,2013-09-18T11:31:37Z,5,426,396,,,,Right here!!,,If there's no coca-cola in this COCA-COLA vending machine AGAIN... I'm not gonna be happy... 😶,3.80E+17,TRO¥
http://twitter.com/penguins_morga,http://twitter.com/penguins_morga/statuses/380292233636765697,2013-09-18T11:28:28Z,3,124,110,,,,ktown,,haha my dads getting me a vanilla coke it's gonna be a great day,3.80E+17,morga
http://twitter.com/akceburrr,http://twitter.com/Akceburrr/statuses/380292204159582208,2013-09-18T11:28:21Z,5,864,1133,,,US,Alabama,,@CovenantChild_ I thought about it all night.. I think a coke slushee from burger king is a good peace offering for us. 😏,3.80E+17,Rebecka Griffin
http://twitter.com/mel_xabe,http://twitter.com/Mel_Xabe/statuses/380291934532960256,2013-09-18T11:27:17Z,5,479,112,,,,Johanessburg,,"""@BabalwaMalgas: coke in this weather is as great as the cold one in the cluuurb after dancing to those ratchet songs :"")"" the cluuurb.. :')",3.80E+17,Melissa Xabe
http://twitter.com/thepostng,http://twitter.com/thepostng/statuses/380291808451768320,2013-09-18T11:26:47Z,7,5602,6016,,,,,,Post Edited: Coca Cola Moves To Address Concern In Kano  Restates Commitment To High Quality http://t.co/vN0L3wjubY,3.80E+17,thepost
