host,link,time,auth,follower,following,age,gender,country,location,sentiment,contents,uniqueid,authname
http://twitter.com/filipsablik,http://twitter.com/FilipSablik/statuses/382249453757161474,2013-09-23T21:05:46Z,6,1816,287,,,US,"Los Angeles, CA",,Not a fan of the vodka but this Rafael Grampa Absolut Vodka Commercial is a great spotlight of a comic creator http://t.co/K0fiDx0lxi,3.82E+17,Filip Sablik
http://twitter.com/windycityrager,http://twitter.com/WindyCityRager/statuses/382142156745355264,2013-09-23T13:59:24Z,6,2287,1988,,,US,"Chicago, IL",,today is gonna be a good day. i have music and i just took 4 shots of Absolut vodka. TURN UP FOR EDUCATION!,3.82E+17,50 Shades of Laced
http://twitter.com/fionajdawson,http://twitter.com/fionajdawson/statuses/382128230360420352,2013-09-23T13:04:04Z,5,912,1186,,,US,"New York, NY",,Quick trip to the Spirit Museum where ABSOLUT vodka has an exhibit. Great interactive fun learning… http://t.co/V4gZl7NnWY,3.82E+17,Fiona Dawson
http://twitter.com/frnvndz,http://twitter.com/FRNVNDZ/statuses/381972608821903360,2013-09-23T02:45:41Z,6,649,271,,,US,Dallas,,the absolut vodka commercial with woodkid make me happy.,3.82E+17,
http://twitter.com/harrry182,http://twitter.com/Harrry182/statuses/381638794765930496,2013-09-22T04:39:13Z,6,643,273,,,US,nh,,is absolut vodka any good??,3.82E+17,harry
http://twitter.com/gameroomgallery,http://twitter.com/GameroomGallery/statuses/381561396687044608,2013-09-21T23:31:40Z,5,607,1798,,,US,California,,Check out this great item: Absolut Vodka 4-Piece Magnetic Condiment Holder *New http://t.co/BhrQ1da1OV,3.82E+17,Gameroom Gallery
http://twitter.com/ladyluvsdabears,http://twitter.com/LADYLUVSDABEARS/statuses/381524313771241472,2013-09-21T21:04:19Z,5,518,517,,,US,ridgeland mississippi,,@bears1985mc dude you're awesome and cool for drinking Absolut vodka!👌,3.82E+17,Arlesia Carter
http://twitter.com/mrinnovation_,http://twitter.com/MrInnovation_/statuses/381271213236322304,2013-09-21T04:18:35Z,4,265,316,,,US,Boston,,Absolut vodka! Great artistic commercial! I'm still not gonna drink it...buuuut #Bravo!,3.81E+17,Mr. Innovation
http://twitter.com/edy_o_0,http://twitter.com/Edy_o_0/statuses/381224046366830592,2013-09-21T01:11:10Z,5,366,348,,,US,Atlanta and Tampico,,Why not ? 😜✌#happy #friday #vodka #absolut #weekend #cool #candies #cheers #fridaynight #alcoholic #lol http://t.co/C0AcYL2jAS,3.81E+17,…….
http://twitter.com/katsayskill,http://twitter.com/KatSaysKill/statuses/381129973248974848,2013-09-20T18:57:21Z,5,443,363,,,US,"Miami, Fl",,@SebIngrosso tells Billboard that it's not cool to do drugs  yet he's embroiled in deep corporate sponsorship from Absolut Vodka. #smh,3.81E+17,Kat Is A Robot
http://twitter.com/its_creative,http://twitter.com/its_creative/statuses/381071817362124800,2013-09-20T15:06:15Z,3,112,376,,,US,"Atlanta, GA",,#creativejuiceoftheweek Stunning New Packaging for Absolut Vodka Flavours by The Brand Union. http://t.co/aYwgmBDP1Q,3.81E+17,Creative Juice LLC
http://twitter.com/johnwpryor,http://twitter.com/johnwpryor/statuses/380887001630642176,2013-09-20T02:51:52Z,5,634,359,,,US,"San Francisco, California",,Great interview with Mike Chen about some work we're doing on open innovation with Absolut Vodka & other clients http://t.co/F989a6ZStd,3.81E+17,John Pryor
http://twitter.com/pudbls,http://twitter.com/PUdblS/statuses/380526280887648257,2013-09-19T02:58:29Z,4,240,381,,,US,MIAMI,,RT @VividMiami Thirsty for some fun? Johnny Walker Black Label  Absolut Vodka & Moët Rose for $150 Tonight!,3.81E+17,PUSS
